Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,23034,1974,01,57.0,Y
IDCJAC0001,23034,1974,02,76.2,Y
IDCJAC0001,23034,1974,03,2.2,Y
IDCJAC0001,23034,1974,04,64.3,Y
IDCJAC0001,23034,1974,05,62.2,Y
IDCJAC0001,23034,1974,06,31.0,Y
IDCJAC0001,23034,1974,07,90.0,Y
IDCJAC0001,23034,1974,08,38.6,Y
IDCJAC0001,23034,1974,09,57.4,Y
IDCJAC0001,23034,1974,10,90.4,Y
IDCJAC0001,23034,1974,11,3.6,Y
IDCJAC0001,23034,1974,12,13.4,Y
IDCJAC0001,23034,1975,01,23.2,Y
IDCJAC0001,23034,1975,02,3.4,Y
IDCJAC0001,23034,1975,03,73.7,Y
IDCJAC0001,23034,1975,04,15.6,Y
IDCJAC0001,23034,1975,05,84.8,Y
IDCJAC0001,23034,1975,06,18.7,Y
IDCJAC0001,23034,1975,07,91.6,Y
IDCJAC0001,23034,1975,08,36.2,Y
IDCJAC0001,23034,1975,09,55.9,Y
IDCJAC0001,23034,1975,10,61.0,Y
IDCJAC0001,23034,1975,11,18.8,Y
IDCJAC0001,23034,1975,12,5.2,Y
IDCJAC0001,23034,1976,01,11.2,Y
IDCJAC0001,23034,1976,02,80.2,Y
IDCJAC0001,23034,1976,03,0.8,Y
IDCJAC0001,23034,1976,04,18.9,Y
IDCJAC0001,23034,1976,05,21.2,Y
IDCJAC0001,23034,1976,06,41.0,Y
IDCJAC0001,23034,1976,07,20.0,Y
IDCJAC0001,23034,1976,08,39.4,Y
IDCJAC0001,23034,1976,09,16.8,Y
IDCJAC0001,23034,1976,10,49.0,Y
IDCJAC0001,23034,1976,11,17.0,Y
IDCJAC0001,23034,1976,12,22.2,Y
IDCJAC0001,23034,1977,01,39.4,Y
IDCJAC0001,23034,1977,02,11.4,Y
IDCJAC0001,23034,1977,03,32.8,Y
IDCJAC0001,23034,1977,04,14.0,Y
IDCJAC0001,23034,1977,05,31.2,Y
IDCJAC0001,23034,1977,06,40.4,Y
IDCJAC0001,23034,1977,07,22.0,Y
IDCJAC0001,23034,1977,08,21.6,Y
IDCJAC0001,23034,1977,09,38.0,Y
IDCJAC0001,23034,1977,10,42.8,Y
IDCJAC0001,23034,1977,11,25.6,Y
IDCJAC0001,23034,1977,12,12.8,Y
IDCJAC0001,23034,1978,01,1.8,Y
IDCJAC0001,23034,1978,02,4.4,Y
IDCJAC0001,23034,1978,03,7.0,Y
IDCJAC0001,23034,1978,04,36.8,Y
IDCJAC0001,23034,1978,05,47.4,Y
IDCJAC0001,23034,1978,06,84.8,Y
IDCJAC0001,23034,1978,07,98.2,Y
IDCJAC0001,23034,1978,08,59.6,Y
IDCJAC0001,23034,1978,09,79.2,Y
IDCJAC0001,23034,1978,10,20.8,Y
IDCJAC0001,23034,1978,11,43.8,Y
IDCJAC0001,23034,1978,12,16.4,Y
IDCJAC0001,23034,1979,01,29.4,Y
IDCJAC0001,23034,1979,02,11.8,Y
IDCJAC0001,23034,1979,03,11.4,Y
IDCJAC0001,23034,1979,04,37.6,Y
IDCJAC0001,23034,1979,05,53.6,Y
IDCJAC0001,23034,1979,06,16.0,Y
IDCJAC0001,23034,1979,07,46.4,Y
IDCJAC0001,23034,1979,08,89.6,Y
IDCJAC0001,23034,1979,09,100.6,Y
IDCJAC0001,23034,1979,10,44.4,Y
IDCJAC0001,23034,1979,11,37.4,Y
IDCJAC0001,23034,1979,12,33.8,Y
IDCJAC0001,23034,1980,01,2.6,Y
IDCJAC0001,23034,1980,02,0.4,Y
IDCJAC0001,23034,1980,03,1.8,Y
IDCJAC0001,23034,1980,04,48.2,Y
IDCJAC0001,23034,1980,05,37.2,Y
IDCJAC0001,23034,1980,06,77.4,Y
IDCJAC0001,23034,1980,07,63.8,Y
IDCJAC0001,23034,1980,08,17.2,Y
IDCJAC0001,23034,1980,09,18.0,Y
IDCJAC0001,23034,1980,10,89.4,Y
IDCJAC0001,23034,1980,11,29.2,Y
IDCJAC0001,23034,1980,12,29.4,Y
IDCJAC0001,23034,1981,01,20.2,Y
IDCJAC0001,23034,1981,02,3.2,Y
IDCJAC0001,23034,1981,03,42.2,Y
IDCJAC0001,23034,1981,04,1.6,Y
IDCJAC0001,23034,1981,05,46.8,Y
IDCJAC0001,23034,1981,06,137.8,Y
IDCJAC0001,23034,1981,07,95.8,Y
IDCJAC0001,23034,1981,08,82.0,Y
IDCJAC0001,23034,1981,09,29.0,Y
IDCJAC0001,23034,1981,10,33.6,Y
IDCJAC0001,23034,1981,11,30.4,Y
IDCJAC0001,23034,1981,12,14.6,Y
IDCJAC0001,23034,1982,01,22.6,Y
IDCJAC0001,23034,1982,02,5.8,Y
IDCJAC0001,23034,1982,03,46.8,Y
IDCJAC0001,23034,1982,04,56.4,Y
IDCJAC0001,23034,1982,05,38.6,Y
IDCJAC0001,23034,1982,06,41.6,Y
IDCJAC0001,23034,1982,07,18.2,Y
IDCJAC0001,23034,1982,08,17.2,Y
IDCJAC0001,23034,1982,09,20.0,Y
IDCJAC0001,23034,1982,10,10.0,Y
IDCJAC0001,23034,1982,11,1.0,Y
IDCJAC0001,23034,1982,12,8.0,Y
IDCJAC0001,23034,1983,01,11.6,Y
IDCJAC0001,23034,1983,02,2.0,Y
IDCJAC0001,23034,1983,03,112.2,Y
IDCJAC0001,23034,1983,04,80.4,Y
IDCJAC0001,23034,1983,05,45.4,Y
IDCJAC0001,23034,1983,06,26.8,Y
IDCJAC0001,23034,1983,07,89.4,Y
IDCJAC0001,23034,1983,08,77.6,Y
IDCJAC0001,23034,1983,09,61.2,Y
IDCJAC0001,23034,1983,10,48.8,Y
IDCJAC0001,23034,1983,11,8.2,Y
IDCJAC0001,23034,1983,12,12.6,Y
IDCJAC0001,23034,1984,01,17.8,Y
IDCJAC0001,23034,1984,02,2.0,Y
IDCJAC0001,23034,1984,03,23.6,Y
IDCJAC0001,23034,1984,04,20.4,Y
IDCJAC0001,23034,1984,05,39.6,Y
IDCJAC0001,23034,1984,06,31.0,Y
IDCJAC0001,23034,1984,07,67.2,Y
IDCJAC0001,23034,1984,08,79.8,Y
IDCJAC0001,23034,1984,09,46.4,Y
IDCJAC0001,23034,1984,10,22.0,Y
IDCJAC0001,23034,1984,11,34.6,Y
IDCJAC0001,23034,1984,12,5.4,Y
IDCJAC0001,23034,1985,01,1.2,Y
IDCJAC0001,23034,1985,02,2.0,Y
IDCJAC0001,23034,1985,03,39.4,Y
IDCJAC0001,23034,1985,04,28.4,Y
IDCJAC0001,23034,1985,05,58.4,Y
IDCJAC0001,23034,1985,06,37.0,Y
IDCJAC0001,23034,1985,07,34.4,Y
IDCJAC0001,23034,1985,08,62.8,Y
IDCJAC0001,23034,1985,09,37.4,Y
IDCJAC0001,23034,1985,10,37.8,Y
IDCJAC0001,23034,1985,11,9.6,Y
